title,published,summary,author,link,text
The U.S. Will Send $400 Million in New Military Aid to Ukraine,"Fri, 03 Mar 2023 18:35:03 +0000",Western leaders have warned of a looming artillery shortage for Ukraine as its troops burn through thousands of shells each day in trying to push back Russian forces.,Lara Jakes and Helene Cooper,https://www.nytimes.com/2023/03/03/world/europe/us-aid-ukraine-rockets.html,"The United States will rush more precision-guided rockets and additional ammunition to Ukraine to help resupply what officials have described as Kyiv’s dangerously low artillery stockpile.

The additional medium-range rockets — known as GMLRS and pronounced “Gimmlers” — will be fired from 38 truck-mounted, multiple-rocket launchers that the United States already has provided. Known as HIMARS, those launchers have, over the past year, proved crucial in bolstering Ukraine’s momentum in the war.

U.S. officials said that the rockets are included in a new $400 million package of military aid announced on Friday by Secretary of State Antony J. Blinken.

The new package comes as President Biden hosts a short visit by Chancellor Olaf Scholz of Germany, bringing the total value of American military aid to Ukraine to more than $32 billion since February 2022."
Search of Train Crash Site in Greece Nears an End,"Fri, 03 Mar 2023 17:46:57 +0000","The authorities were planning to start clearing the debris after Greece’s deadliest rail disaster, with some relatives receiving confirmation that their loved ones had died, while others had to wait.",Niki Kitsantonis,https://www.nytimes.com/2023/03/03/world/europe/greece-train-crash.html,"The crash left rail cars strewn about the tracks, and the authorities were to begin moving the wreckage from the site once the search for human remains was complete.

“We will do a final search today, remove the carriages to search underneath them and then start clearing the area,” said Ioannis Artopios, a spokesman for the Greek fire service.

He added that most of the human remains had been removed from the crash site, though rescuers were still pulling out the charred remains of belongings such as backpacks, cellphones and laptops.

Even though the official death toll was 57 as of Friday afternoon, there was an element of confusion: Only 56 people have been reported as missing by relatives. “There is the possibility that a missing passenger was not reported by relatives or that others boarded at stations along the route,” Mr. Artopios said.

The Greek police were notifying relatives of the dead after family members submitted their DNA for identification. A total of 36 matches were confirmed as the authorities went through the painstaking process and continued to carry out tests on remains retrieved from the site.

Constantina Dimoglidou, a spokeswoman for the Greek police, said that it was not yet clear whether those remains were from people who had already been identified. She added that mental-health professionals were assisting the police in informing relatives."
Why Is TikTok Being Banned?,"Fri, 03 Mar 2023 15:17:21 +0000","Governments have expressed concerns that TikTok, which is owned by the Chinese company ByteDance, may endanger sensitive user data.",Sapna Maheshwari and Amanda Holpuch,https://www.nytimes.com/article/tiktok-ban.html,"In January, a Republican senator, Josh Hawley of Missouri, introduced a bill to ban TikTok for all Americans after pushing for a measure, which passed in December as part of a spending package, that banned TikTok on all devices issued by the federal government. A separate bipartisan bill, introduced in December, also sought to ban TikTok and target any similar social media companies from countries like Russia and Iran.

What is the Biden administration doing?

It’s been largely quiet, though the White House pointed to an ongoing review just this week, in response to questions about TikTok. TikTok has been in yearslong confidential talks with the administration’s review panel, the Committee on Foreign Investment in the United States, to address questions about TikTok and ByteDance’s relationship with the Chinese government and the handling of user data. TikTok has said that it has heard close to nothing since its August submission of a 90-page proposal detailing how it planned to operate in the United States while addressing national security concerns.

Can the government ban an app?

Most of the existing TikTok bans have been implemented at governments and universities that have the power to keep an app off their devices or networks.

A broader, government-imposed ban that stops Americans from using an app that allows them to share their views and art could face legal challenges on First Amendment grounds, said Caitlin Chin, a fellow at the Center for Strategic and International Studies. After all, large numbers of Americans, including elected officials and major news organizations like The New York Times and The Washington Post, now produce videos on TikTok.

“In democratic governments, the government can’t just ban free speech or expression without very strong and tailored grounds to do so and it’s just not clear that we have that yet,” said Ms. Chin.

What if I already have TikTok on my phone when a ban is issued?

The exact mechanism for banning an app on privately owned phones is unclear.

Ms. Chin said that the United States could block TikTok from selling advertisements or making updates to its systems, essentially making it nonfunctional.

Apple and other companies that operate app stores do block downloads of apps that no longer work. They also ban apps that carry inappropriate or illegal content, said Justin Cappos, a professor at the New York University Tandon School of Engineering."
China Increasingly Seen as Antagonist in Diplomatic Talks Globally,"Fri, 03 Mar 2023 13:51:34 +0000","Tensions over China arise in many gatherings of global leaders and diplomats, as Beijing increasingly plays a spoiler role, often siding with Russia.",Edward Wong,https://www.nytimes.com/2023/03/03/world/asia/china-diplomacy-beijing.html,"For President Biden and his aides, that tension came into sharp focus in recent weeks after a Chinese spy balloon began drifting over the continental United States, and when, in their telling, they came across intelligence that China is considering sending weapons to Russia for its war. That prospect has prompted American diplomats and those from allies and partners to deliver warnings to Chinese counterparts, including here in New Delhi.

The anxieties over both China’s and Russia’s increasingly discordant roles on the world stage were perhaps wrapped into a lament on Thursday by Prime Minister Narendra Modi of India that “multilateralism is in crisis today.”

“Global governance has failed in both its mandates” of preventing wars and fostering international cooperation, he said in a video address to a conference of top diplomats from the Group of 20 nations, made up of the world’s major economies, including China and Russia.

The four Asia-Pacific countries represented on the panel one day later at the Raisina Dialogue form the Quad partnership, which was revived in 2017 after many years of dormancy and has gained momentum since, mainly because of shared strategic concerns over China. But in a sign of the delicate balance they are trying to strike in relations with Beijing, the diplomats took pains to stress in their public comments that the Quad is not a security or military organization. Mr. Hayashi was the sole panelist to mention China, and only after being prompted by the panel’s moderator."
A New Child Care Requirement,"Fri, 03 Mar 2023 17:25:59 +0000",A great idea — or a problem for semiconductor makers?,German Lopez,https://www.nytimes.com/2023/03/03/briefing/child-care-mandate-chips-bill-biden.html,"The requirement could also ensure that a more diverse work force benefits from the federal funding. Women and people of color are more likely to have their jobs and lives disrupted by a lack of access to child care, Taryn Morrissey, a family policy expert at American University, said.

There is a point of historical comparison. During World War II, President Roosevelt — under pressure from civil rights activists — required factories to hire both white and Black workers. Like Biden, Roosevelt was using one policy (wartime production) to solve a problem (segregation) that on the surface seemed quite different. And like Biden, Roosevelt could argue that his policy would bring broader benefits, by expanding the number of available workers.

The case against

Making chips in the U.S. costs 44 percent more than it does in Taiwan, which has the world’s biggest maker of advanced computer chips, a Goldman Sachs analysis found. The higher cost is one reason that chip manufacturers left the U.S. in the first place.

Why is it so expensive to manufacture chips in the U.S.? Regulations and litigation can make it difficult to build just about anything in America, imposing costly standards on projects and slowing them down. Companies also pay workers more in the U.S. than in most other countries, increasing labor costs.

For its part, the Biden administration has established a team to help chip companies work through regulatory requirements quickly.

But the child care mandate could increase costs further. Those higher costs could force U.S. manufacturers to charge higher prices or accept lower profits than foreign competitors. That would work against the semiconductor law’s main goal: to make American chip producers more competitive globally.

“Everyone agrees the task is extraordinarily difficult,” said Adam Ozimek, the chief economist for the Economic Innovation Group, a think tank. “We should be doing everything we can to make it easier and nothing to make it harder.”"
The U.S. will send more ammunition to Ukraine.,"Fri, 03 Mar 2023 13:14:22 +0000",,Erin Mendell,https://www.nytimes.com/2023/03/03/world/europe/the-us-will-send-more-ammunition-to-ukraine.html,"The United States is set to send more aid to Ukraine, most of it ammunition for equipment such as HIMARS rocket launchers, before an anticipated Russian assault this spring.

At a press briefing in Washington on Thursday, John F. Kirby, the National Security Council spokesman, declined to give details on the size of the new aid package and did not offer a timeline for when it would be delivered. More information is expected to be released on Friday, he said.

Ukraine is running low on ammunition after a year of fighting Russia. The world’s biggest producers of ammunition cannot keep up with the pace of fighting, which is straining global arms production. Ukraine’s allies, including NATO members, are moving billions of dollars of equipment to Ukraine but are hampered by a patchwork of rules and the desire to replenish their own stockpiles.

Last week, the Pentagon said that it would spend $2 billion on equipment for the Ukrainian military so the country could sustain its long-term needs. The United States will buy that equipment, which includes ammunition for artillery and long-range rocket systems, from manufacturers instead of drawing from its own stockpile. That will delay the delivery by months or years."
Paid Accounts on Facebook and Instagram Arrive in Australia,"Fri, 03 Mar 2023 10:37:25 +0000","Users had mixed feelings about the new subscription service, which bestows exclusive features and a verification check mark.",Yan Zhuang,https://www.nytimes.com/2023/03/03/world/australia/paid-accounts-on-facebook-and-instagram-arrive-in-australia.html,"The Australia Letter is a weekly newsletter from our Australia bureau. Sign up to get it by email.

Two weeks ago, Meta, the parent company of Facebook and Instagram, announced a new service that would give users exclusive features and a coveted blue verification check mark.

For a monthly subscription fee, users will get access to live customer support, measures of protection from impersonation, increased visibility and reach, and exclusive features to “express yourself in unique ways,” the company said. Users will also be able to use their government ID to authenticate their account and receive a verification check mark as long as the name on their account matches.

Following a similar move by Twitter a few months ago, the announcement has intensified debates about the ethics of asking users to pay for support and security features that many argue should be fundamental to social media platforms. One tech columnist compared the practice to a protection racket. Another labeled Meta’s service a “creator tax” — the cost of trying to grow a brand on Instagram or Facebook. (Mark Zuckerberg, Meta’s chief executive, has said that verifying IDs and providing in-person customer support for all users would cost “a significant amount of money.”)

Ethical questions aside, I was curious about how the service would work. Meta has started offering it Australia and New Zealand users on a test-run basis, before it rolls it out in other countries including the U.S. So I tracked down three of the first users in Australia to ask them why they had signed up, what they thought of the service, and whether it was worth the cost."
"The E.U. Offered to Embrace Ukraine, but Now What?","Fri, 03 Mar 2023 10:03:08 +0000",The European Union and NATO have promised a path to membership for the embattled country. But real partnership will hold risks and benefits for both sides.,Steven Erlanger,https://www.nytimes.com/2023/03/03/world/europe/ukraine-eu-nato.html,"BRUSSELS — When the European Union offered Ukraine a path to membership last year, it was in many ways an emotional response to the Russian invasion. Leaders were under pressure to show solidarity with the victims of aggression, even though many opposed the idea.

Since then, preoccupied with passing sanctions, scrounging up aid and scouring military inventories to send Ukraine weapons, few in Europe have focused seriously on what that commitment might actually mean.

But this is a courtship with consequences for the future, not only for Ukraine’s aspirations and survival, but also for Europe’s own security and finances. Ukrainian membership would reshape the bloc and its relationship with a post-conflict Russia. It would also provide the best path toward internal Ukrainian reform as the country worked to meet E.U. standards of transparency and rule of law.

But tensions are already growing between Europe’s desire to maintain its tough requirements and Ukraine’s demand for quick entry into a promised land that has given hope to the embattled country. European Union officials like Ursula von der Leyen, the president of the European Commission, have been slow-walking expectations for Ukraine, a country that nearly all agree is fundamentally unprepared to join."
Cambodian Opposition Leader Is Found Guilty of Treason Before Election,"Fri, 03 Mar 2023 20:56:46 +0000","Kem Sokha, co-founder of the defunct Cambodia National Rescue Party, was accused of conspiring to overthrow the government and sentenced to 27 years of house arrest.",Seth Mydans,https://www.nytimes.com/2023/03/03/world/asia/cambodia-kem-sokha-guilty.html,"Kem Sokha, Cambodia’s most prominent opposition politician who is still in the country, was sentenced to 27 years of house arrest Friday on a charge of treason and barred from running or voting in elections.

Cambodian courts are not an independent branch of government, and the sentence is the latest step that Prime Minister Hun Sen has taken as he crushes what remains of a political opposition in advance of a July election. Mr. Hun Sen, who has been in power for 38 years, has said he is planning to run in that election and has anointed one of his sons, Lt. Gen. Hun Manet, to succeed him in the future.

“It is not right, unfair and can’t be accepted,” said Ang Oudom, one of Mr. Kem Sokha’s lawyers, after the sentence was announced. He said he would appeal but added, “It is a political case, and only politicians can decide.”

Outside the courthouse, where several ambassadors had gathered to hear the verdict, W. Patrick Murphy, the U.S. ambassador to Cambodia, said the case was fabricated and a miscarriage of justice."
Germany’s Scholz Visits Washington Amid Worries Over Ukraine War,"Fri, 03 Mar 2023 21:53:00 +0000","Chancellor Olaf Scholz arrives Friday for a quiet working visit with President Biden, sparking speculation that they will discuss tough questions on how to end the war.",Erika Solomon,https://www.nytimes.com/2023/03/03/world/europe/scholz-biden-ukraine-war.html,"There will be no state dinners, no press entourage and little fanfare. On a two-day visit to Washington to see President Biden, Germany’s chancellor, Olaf Scholz, wants to get straight to business. The question many in Berlin are asking is what that business is.

“What is the purpose of your trip to Washington today? Why are you traveling there? You should have actually explained that here,” Friedrich Merz, the leader of Germany’s main opposition party, the Christian Democrats, said to Mr. Scholz in a speech at the German Parliament on Thursday.

Only a one-line statement announcing the visit to Washington was published by the chancellor’s press office in advance of the trip: The two leaders will discuss the Russian invasion of Ukraine, one year on, and Western support for Kyiv.

The quiet nature of the visit — with no traveling press invited, and no news conferences, and not even an outline of his plans in his speech to German Parliament before his journey — has led some within Berlin’s foreign policy circles to wonder whether it is a reflection of a growing sense of urgency, on both sides of the Atlantic, to find a new road map for ending the conflict in Ukraine."
Bullying Accusations Snare K-Pop Stars and Athletes in South Korea,"Fri, 03 Mar 2023 14:35:57 +0000","In South Korea, such allegations have affected the careers of public figures. The takedowns have public support, but critics wonder if some go too far.",John Yoon and Mike Ives,https://www.nytimes.com/2023/03/03/world/asia/south-korea-bullying-an-woo-jin-k-pop.html,"An Woo-jin, 23, is one of the top pitchers in South Korea. In 2022, he led the Korea Baseball Organization, the country’s top league, in earned run average and strikeouts. But the K.B.O. didn’t invite him to play in the World Baseball Classic, an international tournament featuring Major League Baseball stars that begins next week.

The K.B.O. has said it excluded Mr. An, who has been dogged by anonymous accusations that he assaulted his teammates while in high school, because it considers him a reputational liability. He was not considered last year for an award given to the K.B.O.’s best pitcher because of those accusations.

No charges have ever been filed, and Mr. An has said that news reports about his bullying, for which he apologized at the time, were exaggerated. Yet many South Koreans, including baseball fans, have said they support his exclusion.

Over the last two decades, public accusations of school bullying and violence have played an increasingly prominent role in South Korean culture — Netflix even has a hit show on the subject, “The Glory.” Entertainment agencies vet would-be pop stars for evidence of bullying in their pasts."
The German chancellor is visiting Biden as urgency builds on Ukraine.,"Fri, 03 Mar 2023 18:29:55 +0000",,Erika Solomon,https://www.nytimes.com/2023/03/03/world/europe/the-german-chancellor-is-visiting-biden-as-urgency-builds-on-ukraine.html,"There will be no state dinners, no press entourage and little fanfare. On a two-day visit to Washington to see President Biden, Germany’s chancellor, Olaf Scholz, wants to get straight to business. The question many opposition leaders in Berlin have been asking is what that business is.

The chancellor’s press office published a one-line statement announcing the visit to Washington in advance of the trip: The two leaders will discuss the Russian invasion of Ukraine one year on, and support for Kyiv.

The quiet nature of the visit — with no traveling press invited, and no news conferences, and not even an outline of his plans in his speech to German Parliament before his journey — has led some within Berlin’s foreign policy circles to wonder whether it is a reflection of a growing sense of urgency, on both sides of the Atlantic, to find a new road map for ending the conflict in Ukraine.

“I think we are at a difficult moment, because the question about the endgame is becoming louder, bigger and more important in the U.S., but also in Europe,” said Ulrich Speck, a German foreign policy analyst. “So I think it is one year on and looking back, it’s also looking forward, and to the question: How will this end?”"
Your Friday Briefing,"Fri, 03 Mar 2023 05:42:23 +0000",An important exchange between Russia and the U.S.,Natasha Frost,https://www.nytimes.com/2023/03/03/briefing/russia-blinken-greece-canada.html,"A meeting between top U.S. and Russia officials

Antony Blinken, the U.S. secretary of state, met yesterday with his Russian counterpart, Sergey Lavrov, in the first private, face-to-face exchange between a U.S. cabinet member and a top Kremlin official since the invasion of Ukraine. The meeting showed that the Biden administration saw a need to re-establish in-person diplomatic contacts with Moscow.

Blinken said he had used the unscheduled encounter, which lasted less than 10 minutes, to demand that Russia end its war on Ukraine, as well as to call for it to return to the New START nuclear arms control treaty. He also urged Moscow to free Paul Whelan, an American citizen who the State Department says is wrongfully imprisoned on espionage charges.

The meeting occurred on the sidelines of a gathering of top G20 diplomats. It came at a critical moment in the war: Both sides are marshaling more troops and weapons for planned spring offensives, hoping to score decisive breakthroughs. There has been little recent movement on the battlefield."
"Two Kansas Men Illegally Sold Aviation Equipment to Russia, U.S. Says","Fri, 03 Mar 2023 17:49:43 +0000",The Justice Department said that the scheme had been uncovered as the United States cracked down on illegal exports to Russia since it invaded Ukraine a year ago.,April Rubin,https://www.nytimes.com/2023/03/02/us/kansas-men-aviation-technology-russia.html,"Two Kansas men were arrested on Thursday on federal charges that they broke U.S. export laws by selling aviation-related technology to Russia, the Justice Department said.

The men, Cyril Gregory Buyanovsky, 59, of Lawrence, Kan., and Douglas Edward Robertson, 55, of Olathe, Kan., owned and operated KanRus Trading Company, which supplied electronics installed in aircraft to Russian companies and provided repair services for equipment used in Russian-manufactured aircraft.

The scheme, which also included repairing equipment, was already illegal when it started in 2020, the Justice Department said in a statement. But it was uncovered as the United States has cracked down on illegal exports to Russia since it invaded Ukraine a year ago.

After the invasion in February 2022, the men continued exporting Wester avionics — the electronics that include communications, navigation, flight control and threat detection systems — without seeking or obtaining a license from the U.S. Commerce Department."
"At U.S. Base in Germany, Ukraine’s Military Conducts War Games","Fri, 03 Mar 2023 04:14:17 +0000",The exercises come as Ukraine is emerging from a winter that was expected to offer a lull in fighting. Ukraine’s president appeared to signal recently that the country is preparing for a major offensive.,Helene Cooper and Eric Schmitt,https://www.nytimes.com/2023/03/02/world/europe/ukraine-us-wargames-germany.html,"WIESBADEN, Germany — With winter almost behind them, senior American generals hosted Ukrainian military officials this week for a set of “tabletop” exercises designed to help Kyiv map out the next stage of its battle to reclaim territory from dug-in Russian troops.

During a war-game session at the headquarters of U.S. Army Europe and Africa, the military officials rehearsed a range of options for an offensive that Ukraine’s leader, President Volodymyr Zelensky, has been telegraphing for some time.

The sessions, attended on Thursday by President Biden’s most senior generals responsible for American efforts to help Ukraine, were meant to strategize, officials said, mapping out the risks and benefits of a variety of moves that Ukraine might make against Russian positions in the coming months.

Ukrainian officials will ultimately decide which course to follow, with the American military officials described as serving like a sounding board."
Rail Safety Upgrade in Greece Is Hobbled by Delays and Neglect,"Fri, 03 Mar 2023 00:56:24 +0000",The technology would have automatically stopped trains before they collided. Years of delays and neglect have left Greece with a hobbled system.,Monika Pronczuk and Sarah Hurtes,https://www.nytimes.com/2023/03/02/world/europe/greece-rail-safety.html,"Greece’s rail system consistently ranks among the continent’s most dangerous despite receiving $700 million in modernization money from the European Union over the past decade. And the installation of the new safety system became so bogged down that a senior government official quit last year to protest what he called “unjustifiable delays.”

The European Union expects its 27 member countries to put in place sophisticated new procedures known as the European Train Control System by the end of the decade. That system monitors trains and takes control when they go too fast, blow through red lights or end up on the wrong tracks. The European Union wants to expand cross-border train travel, and harmonizing safety standards across the bloc is part of that strategy.

But putting it into effect has been inconsistent, as evidenced by this week’s crash.

“If the European Train Control System would have been installed and working properly, it should have absolutely prevented something like this from happening,” said Jedde Hollewijn, the railways policy officer for the European Transport Workers’ Federation. “The intention is that all European countries implement this, and we know that Greece has been lagging significantly.”

Luxembourg, the bloc’s smallest and richest country, is already using the new system across its rails. Belgium plans to be fully operational by 2025. Others have upgraded their major routes. But even without the new technology, most rail systems have safety features to prevent head-on collisions. The French National Railway Safety Authority, for example, uses automatic braking systems and other technology."
Incursion in Russian Border Town Puts Kremlin on Emergency Footing,"Fri, 03 Mar 2023 03:52:05 +0000","An armed group said it briefly took control of a border town in Russia’s Bryansk region, but what actually took place there was shrouded in conflicting claims.","Anatoly Kurmanaev, Marc Santora and Alan Yuhas",https://www.nytimes.com/2023/03/02/world/europe/russia-ukraine-bryansk-incursion.html,"A brief armed incursion into a Russian border village by partisans claiming to fight for Ukraine drew an emergency response from the Kremlin on Thursday, prompting President Vladimir V. Putin to cancel a trip and convene his security council over a rare known case of a raid inside Russia.

What actually happened was immediately shrouded by conflicting claims from pro-Kremlin voices and their opponents, though by the end of the day, the Russian authorities had asserted that the incursion was over and that the group had been driven back into Ukraine.

Mr. Putin, who called off a trip to the Caucasus region to be briefed, denounced the episode as a “terrorist” attack, a label Russia frequently applies to military setbacks in the war in Ukraine, and to the periodic explosions on Russian territory believed to be Ukrainian strikes.

In a televised address, Mr. Putin said, without offering any evidence, that the group had opened fire on civilians. The governor of Bryansk, Aleksandr V. Bogomaz, said on the Telegram messaging app that the group had fired on a vehicle, killing two civilians and injuring a child."
Fire Engulfs Hong Kong Skyscraper Under Construction,"Fri, 03 Mar 2023 08:56:42 +0000","The fire at the 42-story tower, which was under construction, burned for nine hours. News reports said two people were injured.",The New York Times,https://www.nytimes.com/2023/03/02/world/asia/hong-kong-skyscraper-fire.html,"The construction project, a redevelopment of Hong Kong’s old Mariner’s Club, sits near five-star lodging and luxury residences, some of which had to be evacuated. Several nearby buildings also caught fire, but firefighters were able to douse those flames.

At one point, sparks threatened a nearby hotel and office, The South China Morning Post reported.

The developers planned to open a new hotel at the site, an area popular with both tourists and Hong Kongers for its shopping, cultural attractions and views of the harbor."
"Nicaragua’s Human Rights Abuses Similar to Nazi Regime, Investigators Find","Thu, 02 Mar 2023 22:17:10 +0000","A U.N. inquiry found that President Daniel Ortega and top members of his government committed human rights abuses, providing evidence for efforts to try them overseas.",Frances Robles,https://www.nytimes.com/2023/03/02/world/americas/nicaragua-human-rights-nazi-germany-un.html,"Nicaragua’s president, his wife and top members of the government committed human rights abuses — including torture and murder — so serious they amounted to crimes against humanity, a United Nations investigative team concluded, providing evidence for any efforts to try them overseas.

In a news conference Thursday, the head of the investigation called for international sanctions against the government and compared Nicaragua’s track record on human rights to the Nazis, saying the current government’s tactics to hold power beginning in 2018 were like those seen during the Nuremberg trials.

“The weaponizing of the justice system against political opponents in the way that is done in Nicaragua is exactly what the Nazi regime did,” Jan-Michael Simon, who led the team of U.N.-appointed criminal justice experts, said in an interview.

“People massively stripped of their nationality and being expelled out of the country: This is exactly what the Nazis did too,” he added."
Blinken Confronts Lavrov in First Meeting Since Ukraine War,"Fri, 03 Mar 2023 16:31:45 +0000","Secretary of State Antony J. Blinken said he told Sergey V. Lavrov, the Russian foreign minister, that Moscow must end its war against Ukraine and return to a nuclear arms control treaty.",Edward Wong,https://www.nytimes.com/2023/03/02/world/europe/ukraine-blinken-lavrov-g20.html,"Secretary of State Antony J. Blinken and his Russian counterpart on Thursday held the first private, face-to-face exchange between a U.S. cabinet member and a top Kremlin official since the invasion, and Mr. Blinken said he used the encounter to demand that Russia end its war on Ukraine.

The unscheduled encounter with Sergey V. Lavrov, Russia’s foreign minister, at an international conference in New Delhi showed that the Biden administration saw a need to reestablish in-person diplomatic contacts with Moscow so the two governments can discuss the year-old war as well as issues beyond it.

Mr. Blinken said at a news conference on Thursday night that in addition to calling for Russia to halt its “war of aggression” in Ukraine, he told Mr. Lavrov that Russia should return to the New START nuclear arms control treaty it withdrew from last month and comply with its terms. And he once again urged Moscow to free Paul Whelan, an American citizen who the State Department says is wrongfully imprisoned on espionage charges."
Your Friday Briefing: G20 Sparring Over Ukraine,"Thu, 02 Mar 2023 20:52:22 +0000","Also, a suspected poisoning of schoolgirls in Iran and a crackdown on migrants in Tunisia.",Mariah Kreutter and Daniel E. Slotnik,https://www.nytimes.com/2023/03/02/briefing/blinken-g20-russia-iran-tunisia.html,"G20 divisions over Ukraine

The top diplomats from the U.S. and Russia held their first face-to-face meeting since Russia’s invasion of Ukraine. Antony Blinken, the U.S. secretary of state, met with Russia’s foreign minister, Sergey Lavrov, on the sidelines of a meeting of the Group of 20 countries in New Delhi yesterday that was dominated by tensions over the war.

The meeting suggested that the Biden administration wanted to keep lines of communication with Russia open even as Blinken told Lavrov that the U.S. would support Ukraine in its defense against Russia “for as long as it takes.”

At the G20 meeting, U.S. officials braced for a clash with China and India over the war. China has called for peace talks, a position that U.S. officials dismiss as a smoke screen that allows Russia and its partners to cast themselves as the reasonable parties. Russia and the West have argued for months over which side is more willing to negotiate. Blinken said this week that the U.S. saw “zero evidence” that President Vladimir Putin was serious about peace talks.

At the end of the meeting, the G20 diplomats issued a lower-level chair’s statement, rather than a consensus communiqué, because Russia and China refused to approve a denunciation of Russia’s war on Ukraine."
Tunisia’s President Vilifies Migrants From Sub-Saharan Africa,"Fri, 03 Mar 2023 16:20:28 +0000","As African migrants are swept up in a widening crackdown, critics say President Kais Saied is openly mining a deep vein of discrimination and prejudice against dark-skinned people in Tunisia.",Vivian Yee and Ahmed Ellali,https://www.nytimes.com/2023/03/02/world/middleeast/tunisia-president-migrants-africa.html,"Moussa Osman had been in hiding — his family panicked, his appetite gone — since Tunisia’s president declared migrants from other parts of Africa pawns in a “criminal plot” to make his predominantly Arab and Muslim nation “a purely African country.”

The next day, Mr. Osman, a 35-year-old former car salesman supporting two children back home in violence-wracked northern Nigeria, lost his construction job after the company said it could no longer employ migrants who had come to Tunisia illegally. Then, he said, his landlord started talking about evicting him, worried he would be penalized for having migrants on the property.

On Sunday, a group of Tunisians broke into Mr. Osman’s apartment, beat up the migrants he was living with and stole their passports and cellphones. By Monday afternoon, he felt he had no choice but to risk a taxi ride to the Nigerian Embassy in Tunis, the capital, hoping to secure some thin protection from a campaign of arrests that migrant associations and Tunisian rights groups say has swept up hundreds of Black foreigners over the last month.

“I am a poor person, a poor migrant living here in peace,” he said outside the embassy, where other Nigerians had begun camping, fearing for their safety. “I left my children in a very difficult situation, and here I find myself in another critical situation.”"
Hubble Telescope Faces Threat From SpaceX and Other Companies’ Satellites,"Thu, 02 Mar 2023 16:00:26 +0000",Scientists found that an increasing number of pictures made by the iconic orbital observatory are being disrupted by passing satellites.,Shannon Hall,https://www.nytimes.com/2023/03/02/science/hubble-spacex-starlink.html,"The Hubble Space Telescope, known for recording awe-inspiring images of the cosmos while advancing the field of astronomy, is under threat.

Private companies are launching thousands of satellites that are photobombing the telescope — producing long bright streaks and curves of light that can be impossible to remove. And the problem is only getting worse.

A study, published Thursday in the journal Nature Astronomy, reveals an increase in the percentage of images recorded by the Hubble that are spoiled by passing satellites. And the data goes only through 2021. Thousands more satellites have been launched since then by SpaceX and other companies, and many more are expected to go to orbit in the years ahead, affecting the Hubble and potentially other telescopes in space.

“We’re going to be living with this problem. And astronomy will be impacted,” said Jonathan McDowell, an astronomer at the Harvard-Smithsonian Center for Astrophysics who was not involved in the study. “There will be science that can’t be done. There will be science that’s significantly more expensive to do. There will be things that we miss.”"
Russian Group With Ukraine Ties Say They Took Control of a Russian Village,"Thu, 02 Mar 2023 23:44:41 +0000",President Vladimir V. Putin of Russia canceled a trip to be briefed on the incursion near the border with Ukraine. He described the incident as a “terrorist” attack.,Anatoly Kurmanaev and Marc Santora,https://www.nytimes.com/2023/03/02/world/europe/russia-ukraine-group-village-control.html,"A Russian partisan group with ties to the Ukrainian military claimed on Thursday that it had briefly taken control of a small border village, in what would represent a rare known example of saboteurs crossing into Russia to carry out an operation.

President Vladimir V. Putin canceled a scheduled trip to the Caucasus region to be briefed on the incursion, the Kremlin said. He denounced the episode as a “terrorist” attack, a label Russia frequently applies to military setbacks in the war in Ukraine.

It remained unclear what happened in the village, although the incursion appeared to be over by Thursday afternoon. The group that claimed responsibility, the Russian Volunteer Corps, is led by a Russian nationalist in exile who opposes Mr. Putin’s rule and has been fighting for the Ukrainian cause.

It is unclear whether the group operates with the assent of the Ukrainian government, as it claims.

The group posted a video on Thursday of two armed men outside what appeared to be a medical building in the village of Lyubichane, in the Russian region of Bryansk, near the Ukrainian border."
"As France Faces Backlash in Africa, Macron Tries Reset With Ex-Colonies","Fri, 03 Mar 2023 16:05:56 +0000",President Emmanuel Macron has embarked on a four-country visit as he slashes the French military presence and says colonial-era habits and attitudes must die.,Roger Cohen,https://www.nytimes.com/2023/03/02/world/africa/france-macron-africa.html,"President Emmanuel Macron of France has embarked on a quest to win favor across Africa on the basis of a policy of “profound humility,” chastened by a decade-long frustrated military intervention and a wave of anti-French sentiment in France’s former African colonies.

In practice, as he outlined in a speech this week, this reset will mean a much-reduced military presence at six bases that will be converted into academies or hubs of new partnerships. He said it would involve “balanced, reciprocal and responsible” relations, respectful of African needs at a time of intense competition for influence and profit across the continent from Russia and China.

“Macron wants to salvage what he can,” said Thierry Vircoulon, a research associate at the French Institute of International Relations. “His first term was a failure, both in terms of the war on terrorism and the attempt to maintain French influence.”

An era is coming to an end. France left its colonies decades ago, but old habits and presumptions about French power and dominance across a swath of Africa have endured, symbolized by a significant military presence and the continued use of the colonial-era C.F.A. franc currency. French nostalgia for the zenith of their geostrategic influence sustained these tendencies."
